id,id_inventario,id_patrimonio,id_coletor,data_coleta,status_coleta,observacao_coleta,localizacao_atual,localizacao_encontrada,estado_encontrado,divergencia,motivo_divergencia,latitude,longitude,foto_patrimonio,sem_etiqueta,descricao_item_sem_etiqueta,categoria_item_sem_etiqueta,id_participante_inventario,observacao,tempo_coleta_segundos,tempo_scan_segundos,tempo_preenchimento_segundos,metodo_coleta,hora_coleta,dia_semana,periodo_coleta,tipo_scan,tentativas_scan,erros_scan,qualidade_etiqueta
39,2,32,1,2025-11-18 15:47:30.302000,COLETADO,,LAB. A3 FÍSICA(BLOCO DE LABORATORIOS),Área Externa,BOM,False,,,,,False,,,2,,,,,,,,,,1,0,
40,2,1014,14,2025-11-19 10:37:15.386000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
41,2,1029,14,2025-11-19 10:37:41.898000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
42,2,1040,14,2025-11-19 11:07:31.067000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
43,2,9318,1,2025-11-19 12:32:31.445000,COLETADO,,GABINETE (IFMT - PDL),SALA DE T.I.,BOM,False,,,,,False,,,2,,,,,,,,,,1,0,
52,2,8235,11,2025-11-24 18:15:44.017000,COLETADO,,SALA DO RH(IFMT - PDL),SALA DE T.I.,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
53,2,10271,11,2025-11-24 18:16:12.064000,COLETADO,,SALA DE T.I.(IFMT - PDL),SALA DE T.I.,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
54,2,8245,11,2025-11-24 18:16:32.607000,COLETADO,,SALA DE T.I.(IFMT - PDL),SALA DE T.I.,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
55,2,217,11,2025-11-24 18:16:54.089000,COLETADO,,COORD. EXTE. E REL. EMPRESARIAIS(IFMT - PDL),SALA DE T.I.,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
56,2,9639,11,2025-11-25 07:38:07.118000,COLETADO,,SALA TI SERVIDOR DE REDE(IFMT - PDL),SALA DE T.I.,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
57,2,7255,11,2025-11-25 07:45:39.167000,COLETADO,,SALA TI SERVIDOR DE REDE(IFMT - PDL),SALA DE T.I.,OCIOSO,False,,,,,False,,,10,,,,,,,,,,1,0,
58,2,110,11,2025-11-25 07:46:12.449000,COLETADO,,DIRECAO DE ENSINO(IFMT - PDL),SALA DE T.I.,OCIOSO,False,,,,,False,,,10,,,,,,,,,,1,0,
59,2,8435,11,2025-11-25 08:07:32.997000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
60,2,10277,11,2025-11-25 08:07:43.699000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
61,2,192,11,2025-11-25 08:07:49.367000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
62,2,10591,11,2025-11-25 08:07:58.582000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
63,2,8260,11,2025-11-25 08:08:09.887000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
64,2,230,11,2025-11-25 08:08:18.195000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
65,2,1016,14,2025-11-25 08:10:21.600000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
66,2,1021,14,2025-11-25 08:11:08.018000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
67,2,1032,14,2025-11-25 08:11:16.893000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
68,2,1039,14,2025-11-25 08:11:30.302000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
69,2,1038,14,2025-11-25 08:11:38.466000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
70,2,1020,14,2025-11-25 08:11:51.378000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
71,2,1024,14,2025-11-25 08:12:00.939000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
72,2,1033,14,2025-11-25 08:12:14.472000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
73,2,1030,14,2025-11-25 08:12:30.948000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
74,2,1018,14,2025-11-25 08:12:42.488000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
75,2,1041,14,2025-11-25 08:12:55.658000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
76,2,1023,14,2025-11-25 08:13:08.034000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
77,2,1015,14,2025-11-25 08:13:22.334000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
78,2,1028,14,2025-11-25 08:13:38.969000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
79,2,1037,14,2025-11-25 08:13:52.356000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
80,2,1036,14,2025-11-25 08:14:05.706000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
81,2,1045,14,2025-11-25 08:14:17.579000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
82,2,1017,14,2025-11-25 08:15:13.746000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
83,2,1019,14,2025-11-25 08:15:33.537000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
84,2,6844,14,2025-11-25 08:15:43.954000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
85,2,1026,14,2025-11-25 08:15:47.117000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
86,2,6843,14,2025-11-25 08:16:04.963000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
87,2,1022,14,2025-11-25 08:16:07.145000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
88,2,6845,14,2025-11-25 08:16:12.522000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
89,2,6847,14,2025-11-25 08:16:40.342000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
90,2,6846,14,2025-11-25 08:16:53.305000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
91,2,6842,14,2025-11-25 08:17:06.295000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
92,2,7551,14,2025-11-25 08:17:22.456000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
93,2,7550,14,2025-11-25 08:17:41.839000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
94,2,1042,14,2025-11-25 08:18:28.653000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
95,2,1046,14,2025-11-25 08:19:29.008000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
96,2,1031,14,2025-11-25 08:20:09.453000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
97,2,1034,14,2025-11-25 08:20:44.181000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
98,2,1027,14,2025-11-25 08:21:00.610000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
99,2,1025,14,2025-11-25 08:21:15.884000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
100,2,1044,14,2025-11-25 08:21:30.402000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
101,2,1043,14,2025-11-25 08:21:45.423000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
102,2,1013,14,2025-11-25 08:22:01.466000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
103,2,1035,14,2025-11-25 08:22:17.270000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
104,2,1059,14,2025-11-25 08:22:35.967000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
105,2,1049,14,2025-11-25 08:22:53.023000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
106,2,7553,14,2025-11-25 08:23:09.373000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
107,2,1081,14,2025-11-25 08:23:11.371000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
108,2,7552,14,2025-11-25 08:23:24.881000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
109,2,1063,14,2025-11-25 08:23:29.345000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
110,2,7549,14,2025-11-25 08:23:38.749000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
111,2,1048,14,2025-11-25 08:23:48.427000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
112,2,1058,14,2025-11-25 08:24:06.982000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
113,2,1057,14,2025-11-25 08:24:25.438000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
114,2,1052,14,2025-11-25 08:24:45.515000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
115,2,1051,14,2025-11-25 08:25:04.198000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
116,2,1047,14,2025-11-25 08:25:24.084000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
117,2,1055,14,2025-11-25 08:26:08.085000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
118,2,1078,14,2025-11-25 08:26:28.244000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
119,2,1064,14,2025-11-25 08:26:49.016000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
120,2,1060,14,2025-11-25 08:27:10.824000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
121,2,1053,14,2025-11-25 08:27:33.884000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
122,2,1054,14,2025-11-25 08:27:57.261000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
123,2,1056,14,2025-11-25 08:28:17.175000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
124,2,4907,11,2025-11-25 08:28:26.409000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
125,2,5631,14,2025-11-25 08:28:40.797000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
126,2,11051,11,2025-11-25 08:28:46.377000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
127,2,4906,11,2025-11-25 08:28:58.767000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
128,2,5633,14,2025-11-25 08:29:01.276000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
129,2,11054,11,2025-11-25 08:29:14.015000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
130,2,5630,14,2025-11-25 08:29:17.357000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
131,2,1065,14,2025-11-25 08:29:19.938000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
132,2,11053,11,2025-11-25 08:29:30.552000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
133,2,11055,11,2025-11-25 08:29:41.666000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
134,2,5632,14,2025-11-25 08:29:44.497000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
135,2,1067,14,2025-11-25 08:29:48.929000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
136,2,11052,11,2025-11-25 08:29:50.846000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
137,2,5629,14,2025-11-25 08:29:59.446000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
138,2,1074,14,2025-11-25 08:30:16.351000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
139,2,5594,14,2025-11-25 08:30:19.411000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
140,2,5211,14,2025-11-25 08:30:33.137000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
141,2,11056,11,2025-11-25 08:30:34.886000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
142,2,1080,14,2025-11-25 08:30:42.361000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,True,Item encontrado em sala diferente da registrada,,,,False,,,12,,,,,,,,,,1,0,
143,2,5212,14,2025-11-25 08:30:44.854000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,12,,,,,,,,,,1,0,
144,2,4909,11,2025-11-25 08:30:46.339000,COLETADO,,BIBLIOTECA(IFMT - PDL),BIBLIOTECA,BOM,False,,,,,False,,,10,,,,,,,,,,1,0,
