id,id_item_composto,id_inventario,id_coletor,quantidade_encontrada,status_componente,observacao_coleta,data_coleta,localizacao_encontrada
2,1548,2,1,1,COMPLETO,,,
3,1578,2,12,1,COMPLETO,,,
4,1175,2,12,1,COMPLETO,,,
5,1428,2,12,1,COMPLETO,,,
6,1499,2,12,1,COMPLETO,,,
7,1826,2,12,1,COMPLETO,,,
8,1397,2,12,1,COMPLETO,,,
9,1810,2,12,1,COMPLETO,,,
10,1711,2,12,1,COMPLETO,,,
11,1161,2,12,1,COMPLETO,,,
12,1454,2,12,1,COMPLETO,,,
13,1540,2,12,1,COMPLETO,,,
14,1442,2,12,1,COMPLETO,,,
15,1701,2,12,1,COMPLETO,,,
1,1549,2,1,1,COMPLETO,,2025-11-29 08:33:01.667425,
17,1604,2,12,1,COMPLETO,,,
18,1625,2,12,1,COMPLETO,,,
19,1488,2,12,1,COMPLETO,,,
20,1761,2,12,1,COMPLETO,,,
21,4407,2,12,1,COMPLETO,,,
22,1823,2,12,1,COMPLETO,,,
23,1380,2,12,1,COMPLETO,,,
24,1559,2,12,1,COMPLETO,,,
25,1524,2,12,1,COMPLETO,,,
26,1409,2,12,1,COMPLETO,,,
27,1209,2,12,1,COMPLETO,,,
28,1771,2,12,1,COMPLETO,,,
29,1542,2,12,1,COMPLETO,,,
30,1729,2,12,1,COMPLETO,,,
31,1772,2,12,1,COMPLETO,,,
32,1616,2,12,1,COMPLETO,,,
33,1778,2,12,1,COMPLETO,,,
34,1697,2,12,1,COMPLETO,,,
35,1407,2,12,1,COMPLETO,,,
36,1457,2,12,1,COMPLETO,,,
37,1532,2,12,1,COMPLETO,,,
38,1255,2,12,1,COMPLETO,,,
39,4408,2,12,1,COMPLETO,,,
40,1518,2,12,1,COMPLETO,,,
41,1489,2,12,1,COMPLETO,,,
42,1464,2,12,1,COMPLETO,,,
43,1443,2,12,1,COMPLETO,,,
44,1476,2,12,1,COMPLETO,,,
45,1668,2,12,1,COMPLETO,,,
46,1137,2,12,1,COMPLETO,,,
47,1746,2,12,1,COMPLETO,,,
48,1413,2,12,1,COMPLETO,,,
49,1324,2,12,1,COMPLETO,,,
50,1342,2,12,1,COMPLETO,,,
51,1515,2,12,1,COMPLETO,,,
52,1402,2,12,1,COMPLETO,,,
56,4410,2,12,1,COMPLETO,,,
54,1458,2,12,1,COMPLETO,,2025-11-29 09:20:09.532313,
58,1486,2,12,1,COMPLETO,,,
59,1657,2,12,1,COMPLETO,,,
60,1587,2,12,1,COMPLETO,,,
61,1722,2,12,1,COMPLETO,,,
62,1291,2,12,1,COMPLETO,,,
63,1306,2,12,1,COMPLETO,,,
64,1583,2,12,1,COMPLETO,,,
65,1416,2,12,1,COMPLETO,,,
66,1574,2,12,1,COMPLETO,,,
67,1535,2,12,1,COMPLETO,,,
68,1834,2,12,1,COMPLETO,,,
69,1479,2,12,1,COMPLETO,,,
70,1674,2,12,1,COMPLETO,,,
73,1316,2,12,1,COMPLETO,,,
74,1411,2,12,1,COMPLETO,,,
75,4413,2,12,1,COMPLETO,,2025-11-29 09:35:20.264278,
77,1576,2,12,1,COMPLETO,,,
78,1422,2,12,1,COMPLETO,,,
79,1805,2,12,1,COMPLETO,,,
80,1782,2,12,1,COMPLETO,,,
55,1533,2,12,1,COMPLETO,,2025-11-29 09:40:36.352908,
82,1338,2,12,1,COMPLETO,,,
83,1775,2,12,1,COMPLETO,,,
84,1566,2,12,1,COMPLETO,,,
85,4414,2,12,1,COMPLETO,,2025-11-29 09:42:21.002435,
88,1500,2,12,1,COMPLETO,,,
89,1071,2,12,1,COMPLETO,,,
90,1703,2,12,1,COMPLETO,,,
91,1292,2,12,1,COMPLETO,,,
92,1103,2,12,1,COMPLETO,,,
93,1776,2,12,1,COMPLETO,,,
94,1777,2,12,1,COMPLETO,,,
95,1434,2,12,1,COMPLETO,,,
96,1405,2,12,1,COMPLETO,,,
97,1708,2,12,1,COMPLETO,,,
98,1013,2,12,1,COMPLETO,,,
99,1706,2,12,1,COMPLETO,,,
100,1750,2,12,1,COMPLETO,,,
101,1133,2,12,1,COMPLETO,,,
104,1824,2,12,1,COMPLETO,,,
106,1570,2,12,1,COMPLETO,,,
107,1513,2,12,1,COMPLETO,,,
108,1460,2,12,1,COMPLETO,,,
109,1573,2,12,1,COMPLETO,,,
110,4417,2,12,1,COMPLETO,,,
111,1590,2,12,1,COMPLETO,,,
112,1509,2,12,1,COMPLETO,,,
113,1263,2,12,1,COMPLETO,,2025-11-29 09:52:17.230360,
115,1760,2,12,1,COMPLETO,,,
116,1589,2,12,1,COMPLETO,,,
117,1328,2,12,1,COMPLETO,,,
118,1508,2,12,1,COMPLETO,,,
119,4418,2,12,1,COMPLETO,,,
120,1817,2,12,1,COMPLETO,,,
121,1208,2,12,1,COMPLETO,,,
122,4419,2,12,1,COMPLETO,,,
123,1536,2,12,1,COMPLETO,,,
124,1781,2,12,1,COMPLETO,,,
125,1520,2,12,1,COMPLETO,,,
126,1519,2,12,1,COMPLETO,,,
87,1550,2,12,1,COMPLETO,,2025-12-01 12:06:42.586065,
127,1552,2,12,1,COMPLETO,,,
128,1523,2,12,1,COMPLETO,,,
129,1759,2,12,1,COMPLETO,,,
130,1421,2,12,1,COMPLETO,,,
131,1560,2,12,1,COMPLETO,,,
132,1561,2,12,1,COMPLETO,,,
133,1582,2,12,1,COMPLETO,,,
134,1447,2,12,1,COMPLETO,,,
135,1147,2,12,1,COMPLETO,,,
53,1317,2,12,1,COMPLETO,,2025-11-29 10:04:06.681589,
137,1551,2,12,1,COMPLETO,,,
138,1747,2,12,1,COMPLETO,,,
139,1704,2,12,1,COMPLETO,,,
140,1710,2,12,1,COMPLETO,,,
141,1145,2,12,1,COMPLETO,,,
142,1446,2,12,1,COMPLETO,,,
144,1467,2,12,1,COMPLETO,,,
145,1558,2,12,1,COMPLETO,,,
146,1429,2,12,1,COMPLETO,,,
147,1494,2,12,1,COMPLETO,,,
