id,numero,status,descricao,rotulos,id_responsavel,valor_aquisicao,valor_depreciado,numero_nota_fiscal,numero_serie,data_entrada,data_carga,fornecedor,id_sala,estado_conservacao,marca,modelo,categoria,descricao_resumida,observacoes,situacao,ed
3446,368537,Ativo,"PROJETO NA ENGENHARIA, 1A EDIÇAO, 2015, EDITORA EDBL - LIVRO",PDL - Biblioteca,6,74.97,74.97,5584,,2014-07-23,2025-07-12 22:37:50.688032,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
4712,374138,Ativo,"GESTAO DA QUALIDADE, 5A EDIÇAO, 2012, EDITORA ELSEVI - LIVRO",PDL - Biblioteca,6,97.68,97.68,5656,,2014-11-28,2025-07-12 22:41:26.425716,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
6368,405058,Ativo,"Firewall tipo 2, Networks PA-500 200GB",-,18,65000.00,65000.00,0026,,2017-06-16,2025-07-12 22:46:04.080393,APPROACH TECNOLOGIA,37,,,,OUTROS,,,,12311.0201
6974,419613,Ativo,Fundamentos de Química Analítica . Tradução da 9ª edição Norte Americana . 	Editora: Cengag -  São Paulo	/	2017.		ISBN : 9788522116607- Livro,-,6,161.64,161.64,14383,,2018-03-28,2025-07-12 22:47:47.713420,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
6632,419219,Ativo,Sistemas de Informação: Planejamento e Alinhamento Estratégico nas Organizações	3 ed. Editora: 		Bookman/2017. ISBN : 9788536301921.,-,6,54.98,54.98,14382,,2018-03-28,2025-07-12 22:46:48.636659,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
6881,419495,Ativo,Química Orgânica	Volume 1   10ª  Edição.    Editora: LTC -	2012.    ISBN :	9788521620334- Livro,-,6,162.99,162.99,14383,,2018-03-28,2025-07-12 22:47:31.458351,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
6909,419523,Ativo,Química  Orgânica	Volume 2      10ª Edição.     Editora :	 LTC-	2017.	 ISBN : 9788521620341- Livro,-,6,156.53,156.53,14383,,2018-03-28,2025-07-12 22:47:35.921234,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
6920,419534,Ativo,"Química e Mineralogia  do Solo   2°  Volumes 	1 ed.	Editora:  Viçosa:  SBCS,  2009.                                                      ISBN : 	9788586504051- Livro",-,6,109.96,109.96,14383,,2018-03-28,2025-07-12 22:47:37.843131,EXITO DISTRIBUIDORA E COMERCIO DE LIVROS LTDA,42,,,,OUTROS,,,,12311.0402
9,3249,Ativo,FONTE DE ALIMENTACAO MARCA: INSTRUTHERM MODELO: FA-3003 SERIE: 7052900249235,CBA-DAE,6,195.01,195.01,65606,,2007-07-04,2025-07-12 22:12:05.485575,Importação Siga,17,,,,OUTROS,,,,12311.0107
18,3260,Ativo,FONTE DE ALIMENTACAO MARCA: INSTRUTHERM MODELO: FA-3003 SERIE: 7052900249223,CBA-DAE,7,195.01,195.01,65606,,2007-07-04,2025-07-12 22:12:08.083556,Importação Siga,24,,INSTRUTHERM,FA-3003,OUTROS,,,,12311.0107
42,5689,Ativo,FONTE DE ALIMENTACAO MARCA: INSTRUTHERM MODELO: FA-3003 SERIE: 07052900249220,CBA-DAE,6,195.01,195.01,65606,,2007-07-04,2025-07-12 22:12:14.157551,Importação Siga,17,,,,OUTROS,,,,12311.0107
44,5692,Ativo,OSCILOSCOPIO DIGITAL MARCA: MINIPA MODELO: MO-1231 SERIE: MO1231000199,CBA-DAE,8,1345.00,1345.00,916,,2007-03-22,2025-07-12 22:12:14.658646,Importação Siga,25,,,,OUTROS,,,,12311.0101
10600,8033,Baixado,UNIDADE DE TURBINA A GAS MARCA: DIDACTA ITALIA MODELO: T 200 D SERIE: 957410,-,,0.00,0.00,-,,,2025-11-03 23:13:04.342563,Importação Siga,30,,,,OUTROS,,,,12311.0103
53,9211,Ativo,MULTIMETRO ANALOGICO MARCA: INSTRUTHERM MODELO: MA-100,CBA-DAE,6,3.35,3.35,24772,,1993-10-13,2025-07-12 22:12:17.954710,Importação Siga,17,,,,OUTROS,,,,12311.0101
